src,tgt
876*345=,302220
500-472-422-166=,-560
116*779=,90364
221-(131*945)=,-123574
(414*238)*257=,25322724
(563+793)-607-227=,522
(942+931)-274+470=,2069
430*463+857=,199947
559*(935*738)=,385726770
(843-682)*522*560=,47063520
(340-396)*763*492=,-21022176
680+117=,797
789*659=,519951
616+(275*594)=,163966
884*(141+433)*423=,214636968
465+366=,831
161-732=,-571
649-877=,-228
(603+449)+260=,1312
255-512+610-332=,21
(466+440)=,906
484+672=,1156
(668+227)+(807*274)=,222013
449-(334-502)*816=,137537
390-965-599=,-1174
309*(209*207)=,13368267
983+754*(481*303)=,109891205
(754+158)-412=,500
728-311=,417
988+171=,1159
309*(689*481)=,102405381
734+(479+145)+533=,1891
(156*800)=,124800
182*385=,70070
(329+793)-557=,565
(998-258)-498=,242
208+603=,811
743*544=,404192
968+862=,1830
(972+906)*815+613=,1531183
307+698=,1005
(266-978)-(418*626)=,-262380
334-469=,-135
(443-419)-441=,-417
(457-247)=,210
194+(196+257)=,647
653+(981*265)-726=,259892
(413+466)-756=,123
628+683*537=,367399
(316-646)-102=,-432
(992-256)*501=,368736
387-319-524=,-456
208+483=,691
(794*199)-503=,157503
(157*112)+305=,17889
369-(256*171)=,-43407
592*534*(512-754)=,-76502976
(293*758)+799-883=,222010
578-(652-213)=,139
216*(189+144)=,71928
(545-307)=,238
990-(775+374)+900=,741
310*(947*270)+355=,79264255
629-759-(347+759)=,-1236
(885+749)=,1634
(462*663)=,306306
415+495-(785-390)=,515
(656-265)=,391
(125+794)-524=,395
(629-826)=,-197
(298-967)=,-669
540*955=,515700
(921-843)+182=,260
(179*861)-613+695=,154201
746*(890-474)=,310336
(301-758)=,-457
(110-511)=,-401
(261*745)-905=,193540
(884-507)=,377
(257-269)-(118+815)=,-945
(471*189)*(392-525)=,-11839527
(249*453)=,112797
991+(707+105)=,1803
(962+849)*557=,1008727
939+(770*633)-412=,487937
(829*968)=,802472
(160*265)*578=,24507200
(337+861)+626=,1824
(102*112)+787=,12211
177*251=,44427
(665-662)*570=,1710
(983*974)+183=,957625
(695*880)=,611600
(279-613)+244=,-90
940*865=,813100
(915+646)=,1561
(419-224)=,195
867*(798*272)+658=,188188210
(474-671)=,-197
(926*196)*490=,88933040
(912-368)=,544
(353+792)-823=,322
(482+421)=,903
887-(588*864)=,-507145
(848-775)=,73
(426*582)*420=,104131440
(543*679)*308+828=,113559504
564*710=,400440
379+177+835+932=,2323
201-965-308=,-1072
609-(711-742)*426=,13815
(945-879)*632-454=,41258
(310*706)-937=,217923
116+352-368*200=,-73132
(874-484)+170+549=,1109
868*643=,558124
845-(987-580)+896=,1334
(149+308)=,457
414*825=,341550
238*151+313*442=,174284
689+486+946=,2121
(231-760)+525=,-4
782*545=,426190
443*540=,239220
(852-828)-483=,-459
364*306=,111384
236+477=,713
(937*649)+468=,608581
973*715=,695695
364*214=,77896
(449+469)*278=,255204
932+(969-968)=,933
(699-279)-(297+715)=,-592
341*(292-283)+875=,3944
(109-430)=,-321
556+(112+176)=,844
(886-194)-(233*954)=,-221590
(931+197)-580=,548
(483-122)+686=,1047
301-(503*194)=,-97281
(987+852)=,1839
751-288*(605-353)=,-71825
(517+471)*311=,307268
562*(431-693)*249=,-36663756
(902+889)*838=,1500858
679-865+779=,593
(927+211)+147+126=,1411
542-523*456=,-237946
457*893=,408101
410-118=,292
972+458+587=,2017
601*(197-115)=,49282
685*558+721=,382951
(277*369)*246=,25144398
492-795=,-303
702-215*891=,-190863
(467-743)=,-276
(972-696)*757=,208932
(998+738)-114+954=,2576
124*355*527=,23198540
424*737+546+450=,313484
(221*367)*998=,80944786
568-821+325=,72
(238-131)=,107
(830*195)=,161850
(122+885)-607=,400
432+801=,1233
(959-954)*(406+133)=,2695
909+604=,1513
561-675=,-114
176*328=,57728
(797*600)=,478200
(287-291)+(699+330)=,1025
(450-196)=,254
(229-662)+201-435=,-667
(545+778)=,1323
(632-240)*528+855=,207831
(786-179)*525*798=,254302650
395+985+(997+408)=,2785
(666+947)-363*567=,-204208
706+268=,974
(849*461)=,391389
456-(724+596)=,-864
758-696*514=,-356986
950*561=,532950
307+659=,966
802-227=,575
(596*805)+409=,480189
(560-615)+989=,934
666+686-(814*558)=,-452860
420-498*423=,-210234
(955-926)=,29
884+805=,1689
(128+143)=,271
(837-560)+283-360=,200
786+776+427=,1989
382+161=,543
318+347=,665
793+487-643=,637
578-380*515=,-195122
393*294-(557*390)=,-101688
(765+443)+957-343=,1822
(457+433)=,890
993-(814+943)-562=,-1326
223*824=,183752
983+352-311=,1024
(681*520)*411-871=,145542449
(787*148)=,116476
(139-394)-658=,-913
(727-864)+(128-809)=,-818
(832+464)+722=,2018
932+119=,1051
(992*171)+973-650=,169955
(631*655)=,413305
(305-511)+457=,251
(435*744)*233=,75408120
(939+894)-259-569=,1005
684*412*(453+649)=,310552416
213+649=,862
298+743=,1041
993+(532+580)-684=,1421
(857-408)*792+775=,356383
877+107*(813*809)=,70376596
(569-646)+(249*122)=,30301
(710*619)-722=,438768
597+(341*225)+540=,77862
847+734=,1581
835-(617+725)+931=,424
446-199=,247
(901*699)+960=,630759
(661-899)=,-238
944-(697-252)=,499
(891-811)*(964-646)=,25440
525-320=,205
(762*781)=,595122
(339*758)-453-774=,255735
586-849=,-263
(627+117)+291=,1035
(979+326)=,1305
661*(413*819)*707=,158071955769
830-365=,465
(464*112)*156=,8107008
(745*521)+897+528=,389570
785*896=,703360
(304+519)=,823
891-(558-299)-366=,266
(564*771)+531=,435375
(762-715)=,47
927+(155-575)=,507
489-208+(330+599)=,1210
471-(551-559)=,479
100+495*403=,199585
(142-144)*114=,-228
622+214=,836
(258*651)+516=,168474
(622+325)=,947
937-287-(851*550)=,-467400
576+729=,1305
(673+129)=,802
278-(142*816)*321=,-37194634
243*614=,149202
411*(537-127)=,168510
814-(960*509)=,-487826
935+244*330=,81455
(119-376)-967+552=,-672
(483+875)-217=,1141
(128*509)=,65152
(932*496)-127+504=,462649
(927+388)=,1315
(190*914)*342=,59391720
634*846-885=,535479
(619-999)*685=,-260300
264-123=,141
(579*356)*265=,54622860
464+461=,925
275-875=,-600
687+(777+843)=,2307
885+(612+145)=,1642
(246+230)+542=,1018
689*(673-534)=,95771
(792+688)+(558*556)=,311728
(999-972)-383+160=,-196
775-932=,-157
993*133=,132069
(192-930)-791-752=,-2281
(846+920)*459*992=,804109248
(473*394)=,186362
(704-583)*(993*534)=,64161702
125*203-445*621=,-250970
(788*712)-881=,560175
894*(162-238)=,-67944
(777+426)+170=,1373
(850*414)*(391-238)=,53840700
848+438=,1286
828+(419+331)+832=,2410
(988-405)*(971-299)=,391776
(692-751)+271=,212
(808+360)+140=,1308
583+855=,1438
804-860*(169*804)=,-116852556
358+543-(798+640)=,-537
(488+899)-(290*989)=,-285423
(920+507)-931=,496
(326-314)=,12
134*296=,39664
(569*419)=,238411
(408+936)=,1344
621-677=,-56
(510*673)+456=,343686
981+(676-121)-948=,588
(466*739)-538-294=,343542
(676+451)+486=,1613
347-697+183=,-167
(300*863)-771+950=,259079
235-210*(311*464)=,-30303605
166-(317-507)=,356
484*910-980=,439460
(347*989)=,343183
(978+379)=,1357
(683-606)-987=,-910
(459+733)=,1192
970-(231-626)+666=,2031
900-586=,314
(796-238)=,558
549*(412-484)=,-39528
891*760=,677160
412*750=,309000
830-358=,472
(158+641)*(751-919)=,-134232
417*264+656=,110744
447+(481-262)*104=,23223
500*181=,90500
(893*744)+726=,665118
532+(824*563)=,464444
(332*482)=,160024
(476*375)*524-927=,93533073
140-(451*513)=,-231223
724+(586+200)=,1510
244-632=,-388
223-(254-692)-100=,561
(400+950)=,1350
(442-180)=,262
(408+438)*819=,692874
326*(758+366)=,366424
(490-942)-595-823=,-1870
867*154-590=,132928
495-611+339+413=,636
(900*864)+908=,778508
572+(290-885)=,-23
984*(698+819)-248=,1492480
602+100=,702
(549-493)-562=,-506
(639-304)*409=,137015
145+(473*400)+310=,189655
(891-689)=,202
463+(315-951)=,-173
207*835=,172845
359+(296+225)+228=,1108
531-(579+941)=,-989
(771-270)*366+457=,183823
(807-338)=,469
103+628+898=,1629
(890*610)=,542900
726*542=,393492
706*(675-436)=,168734
126-(920+380)=,-1174
(231+508)+976+176=,1891
(103-179)=,-76
(221+152)+969=,1342
192-537=,-345
(564-782)=,-218
437*570=,249090
914+(210+845)=,1969
(821-535)=,286
(883-252)=,631
(999+124)-322=,801
916*602=,551432
611+(929+383)*873=,1145987
(342+599)=,941
893*(713+907)=,1446660
980+723+770=,2473
(712+623)=,1335
902-513+790=,1179
(718*458)+212*846=,508196
882-287+755=,1350
975-538=,437
(851+272)=,1123
355-623*(570-213)=,-222056
(563*356)*236+829=,47301837
930+109=,1039
617*350=,215950
(180-666)=,-486
206-714*867=,-618832
168-451=,-283
988*484+(520+230)=,478942
(454-917)=,-463
810*505=,409050
920-143=,777
591-(982*406)=,-398101
909*234=,212706
(849-939)-(994*639)=,-635256
134-385-(872*445)=,-388291
187*(385-711)+285=,-60677
375-802+(829*172)=,142161
(675+971)+(168-955)=,859
(446+205)=,651
603+(283*239)-107=,68133
(256-858)*747=,-449694
(859*936)*(521*847)=,354805338888
989-713=,276
754*(795*339)-262=,203206508
710*427*182=,55176940
(421*593)=,249653
(631+670)=,1301
343*641*373=,82008899
(253+213)+(715*762)=,545296
917*727*799=,532660541
(574*493)+302=,283284
(739*412)=,304468
994*312*788=,244380864
879+658=,1537
(599+417)-(679-797)=,1134
600+(186+741)=,1527
900-(173-865)+164=,1756
(250*868)+132=,217132
789+797=,1586
863*(763-154)+237=,525804
750*859=,644250
820*(978-235)*936=,570267360
(808-808)*272=,0
586+297-377*902=,-339171
955*(557+578)=,1083925
616+445=,1061
(402*798)=,320796
524+703=,1227
(899+837)=,1736
681-594*393=,-232761
842-228=,614
452-(753+972)=,-1273
(451*888)-619=,399869
(191+244)+(871-858)=,448
454-206*210-160=,-42966
604+554*529=,293670
345*(918+203)=,386745
(637-224)=,413
(394+646)=,1040
949-886=,63
(347+828)+239=,1414
541+(227-578)=,190
474+641-600-179=,336
665-121-227*768=,-173792
(203+749)+911=,1863
131*237+357=,31404
(650*925)*736+653=,442520653
529-799*186=,-148085
(497*708)*263-741=,92542647
197-214+271+784=,1038
450+(824-687)=,587
(606*516)-169=,312527
(506-146)*381=,137160
(930*544)=,505920
(655-710)*(230+133)=,-19965
(441*241)-(482+608)=,105191
420*938*(804-770)=,13394640
931-142-616=,173
(614-734)-477=,-597
(223*738)+677=,165251
974-525*(476-199)=,-144451
799+730*295=,216149
(794-740)*524+573=,28869
700-(686-450)*819=,-192584
312+274=,586
(358+263)=,621
(192*952)-(350*119)=,141134
431+(447*878)-805=,392092
657-(272+767)+868=,486
(495-186)-329=,-20
442-(207*974)-308=,-201484
139-744=,-605
(826-636)*235=,44650
869-314-342-714=,-501
(435-574)-586+562=,-163
430-460=,-30
857*544=,466208
756+535-(578*398)=,-228753
(274+336)*630-701=,383599
354*853=,301962
(432+962)-213=,1181
(336*994)+298=,334282
810-(364-261)=,707
(535+242)=,777
(764*914)=,698296
418-734-249*831=,-207235
(299-645)+(153+174)=,-19
(983*816)+730=,802858
832*(503+192)=,578240
(801*499)+126=,399825
998+709+(687*231)=,160404
113+(252+543)+844=,1752
(523-554)*(421+748)=,-36239
146-688*848+387=,-582891
(446-637)*375=,-71625
(911-521)-843-763=,-1216
(294-222)*395=,28440
(174-397)+252=,29
(251-497)=,-246
952*890=,847280
(192-687)*(335+914)=,-618255
(711+470)=,1181
693+(674+150)=,1517
206-(255-547)+366=,864
244+(482-750)=,-24
(558*589)+586*547=,649204
(290+474)-(983-960)=,741
642+358=,1000
365+(218+440)=,1023
948+(271+594)*723=,626343
544*(194+898)+849=,594897
(323+185)+186=,694
(993-799)=,194
490+445*593*457=,120595935
(753-534)-381*466=,-177327
976-313-(164-919)=,1418
(262*261)+265=,68647
(645+233)*795=,698010
102*965=,98430
367*468*352=,60458112
619-954*189=,-179687
341-773+641=,209
(952*886)=,843472
463*(484*951)=,213111492
(913*534)=,487542
(598*726)+537=,434685
(114*955)+850=,109720
(659*192)=,126528
770+867=,1637
244+984+691=,1919
(906-517)=,389
389*151*556=,32658884
(421-938)=,-517
873+685-490=,1068
(665+454)=,1119
(366-916)+(102-815)=,-1263
(676+323)+910=,1909
795+(933+122)+863=,2713
199+192+220=,611
(139*950)=,132050
(572*842)-419=,481205
(305*221)=,67405
(724-969)*181+745=,-43600
(666+661)=,1327
729+(412-212)-741=,188
(419*436)=,182684
(825+589)=,1414
(215+488)*970=,681910
681+(528+932)=,2141
162-(842-457)=,-223
(872+224)-445=,651
(639*662)-586=,422432
(105*289)+678=,31023
159+(610*630)=,384459
432-(623+921)=,-1112
(542+853)+208*771=,161763
396*517*288-610=,58962206
(573-827)+871=,617
832-397+408=,843
267+863+126=,1256
(937*239)*656=,146906608
782*317+920-419=,248395
417+713*408=,291321
(623*966)-495=,601323
(999+409)*648=,912384
(793-903)=,-110
897+855=,1752
818*838+330=,685814
467+530=,997
(813*265)=,215445
(258-738)=,-480
934*968*864-143=,781152625
(613*236)*(496*240)=,17221278720
886-972=,-86
(585-616)=,-31
114*(771-534)*163=,4403934
860*739=,635540
678+786=,1464
(308*721)-193=,221875
922+655=,1577
(251+192)+964=,1407
752+240-(482-413)=,923
278*360-687=,99393
(142+144)+283=,569
(392*970)=,380240
997+639=,1636
(282*921)*(494*227)=,29124705636
171*846+455=,145121
(112-207)+227-741=,-609
445+(694+946)-588=,1497
742+(583*759)=,443239
(344-159)*497=,91945
(734+367)=,1101
438*(237*181)-402=,18788484
(565*900)=,508500
(231-871)+827=,187
(598+766)+(944*800)=,756564
(599-360)*915=,218685
418-204+(421-520)=,115
274-992*408+605=,-403857
696*728-625=,506063
(206+342)-552*360=,-198172
(271*694)-(731+690)=,186653
210*555=,116550
442-628=,-186
(705-737)=,-32
949*124+(732-500)=,117908
586*160=,93760
200-524*115=,-60060
(958-499)=,459
(700+994)+763-480=,1977
(292+461)=,753
(232-979)+956+863=,1072
(748-272)-643+309=,142
344*955=,328520
(892*589)=,525388
655*377=,246935
(425+194)+798-596=,821
(890+134)*789+416=,808352
938*335=,314230
963+670=,1633
(361*701)*(874-583)=,73640751
911*(737*123)+307=,82583368
(961*293)*(612+978)=,447701070
(931+344)+(493*983)=,485894
837+(406*337)=,137659
469-992=,-523
(996*205)+662+441=,205283
993+701=,1694
485+711-(748-140)=,588
(773*560)-290=,432590
482-(644+138)=,-300
(645*118)+901=,77011
(175-698)+324=,-199
(794+842)=,1636
(170*237)=,40290
(967+393)=,1360
(896-234)+192=,854
(718*290)-372=,207848
953+142*(728-436)=,42417
669+858=,1527
(591-951)*649=,-233640
(697+331)=,1028
861+430+908=,2199
963*553=,532539
713-(233-452)=,932
(215*633)*272=,37017840
(784+676)*544=,794240
199+131=,330
(130-610)+757=,277
704+345=,1049
302-(677+369)*315=,-329188
(745*455)*(602*867)=,176922577650
(627+647)+(779-387)=,1666
(619*958)-987=,592015
(820*493)+169=,404429
370*860=,318200
(378+947)=,1325
174*147+(126*870)=,135198
(417*643)*599-535=,160609934
309-234=,75
874+486=,1360
372+922=,1294
(966*380)+366-803=,366643
550+(932*410)*839=,320599230
881-560=,321
265+(109*761)=,83214
(789+147)-800=,136
845-(439+891)*876=,-1164235
464-110*325=,-35286
(500*493)-854+701=,246347
870-(127*213)=,-26181
(237-407)=,-170
447-(476*229)=,-108557
689-330=,359
(167*520)-338=,86502
833*(628-812)=,-153272
(838+772)+862*292=,253314
(663*137)=,90831
(737+511)*507+227=,632963
342*374=,127908
729+656*704-595=,461958
(814+373)-(176+625)=,386
831+961=,1792
806+994=,1800
132-333=,-201
(995*318)-(771+256)=,315383
929*806=,748774
551+(927*190)+549=,177230
524*274+(803+973)=,145352
(372*178)+(247*465)=,181071
212+287+482-906=,75
725-(524-674)=,875
468*663*703=,218129652
(511+687)=,1198
(202*860)=,173720
(138-935)=,-797
(879-722)=,157
(526+153)+153=,832
(196-992)=,-796
(389-391)*(367-923)=,1112
(664*841)=,558424
(490*401)+239=,196729
834*(302+206)=,423672
(115+919)=,1034
(146-953)-931-129=,-1867
908-175=,733
472+234=,706
(430-565)+567=,432
780+610*246-551=,150289
780*521-426-881=,405073
(205+421)=,626
917*(962+516)*953=,1291625678
(592+352)=,944
(961*715)*793=,544882195
447*203*290=,26314890
(117-133)=,-16
(550*748)=,411400
(955*715)-634=,682191
463*703=,325489
(408+992)=,1400
(748*838)*(922-147)=,485788600
382+678*585=,397012
(715-680)*699+901=,25366
(212-814)*(668+265)=,-561666
(729-419)-528=,-218
216+(555-636)-662=,-527
(660+744)-186*851=,-156882
(153-585)-684=,-1116
(875*355)*402=,124871250
(111+735)-279=,567
809-(231+375)-193=,10
(971+273)+710+844=,2798
(231+535)+(786+833)=,2385
977*(783+940)=,1683371
(428-371)=,57
375*(258+670)=,348000
(165-965)=,-800
354-(735*609)=,-447261
(773*318)+302-327=,245789
(615*538)=,330870
236-668-979=,-1411
(342*425)=,145350
690-606=,84
988*694*372*959=,244612114656
429+482-564=,347
(332*914)-389*666=,44374
(439-492)+414=,361
145+(245+790)-975=,205
113+483+751=,1347
(126-566)+161=,-279
(993+268)=,1261
606+501*817=,409923
320*(980-335)+933=,207333
617-471=,146
(532*837)-(230*147)=,411474
(168-478)*291=,-90210
995+486+451=,1932
(899*607)=,545693
(688-194)*337+631=,167109
(482-583)-(445+835)=,-1381
276+(110*631)+827=,70513
303*(776*861)-366=,202444842
(200*768)=,153600
(843+739)+574=,2156
435*500-(829+534)=,216137
(866*448)*341-521=,132296567
196-(691*636)=,-439280
364*774-379=,281357
389-421+588*154=,90520
131+651-171+347=,958
(393-550)*608=,-95456
992*580*(444*825)=,210754368000
(784*532)-412*591=,173596
500*(890*379)*643=,108445165000
376-904=,-528
523-(736*739)+527=,-542854
(164+835)+252*626=,158751
(878+881)*357-832=,627131
(295+997)=,1292
358-958=,-600
692+(549+347)=,1588
582-802+413=,193
(969-850)=,119
(682-331)-674=,-323
222-622=,-400
276+(180+267)*588=,263112
(881*618)=,544458
(625*115)+311*869=,342134
(165+496)=,661
966+225-251=,940
648*(974*882)+686=,556676750
574+619=,1193
(248-375)=,-127
(473+689)-244-954=,-36
463-(814-945)*416=,54959
(665*818)+211=,544181
(219-832)+(212*925)=,195487
(876+217)+584=,1677
(573*902)+915-656=,517105
(520*197)+702=,103142
854*208=,177632
630-249*706*773=,-135888132
(811-614)=,197
(224*797)=,178528
(366-541)*377=,-65975
187-740=,-553
(265*396)-(248*508)=,-21044
956+(223+647)+855=,2681
875-731=,144
768+393+117=,1278
(216*160)=,34560
454-691=,-237
(714*235)=,167790
392+(180*372)=,67352
(559-959)-538+713=,-225
(589-808)=,-219
(757+243)-(383-112)=,729
152-501=,-349
(795+621)*151=,213816
811+353-(190-130)=,1104
976*300=,292800
326+(103+298)=,727
(468+319)-308=,479
(858-625)+(857+129)=,1219
405*(779-467)*389=,49154040
(974+987)+678=,2639
456+717=,1173
679*(231*960)=,150575040
845*915-367=,772808
(775*268)=,207700
(212*843)=,178716
(584*342)-762=,198966
728*756+(959-304)=,551023
853-(780+284)=,-211
130-264-498=,-632
(337+835)=,1172
550-712-804=,-966
597*(682*236)+892=,96089236
(314*976)=,306464
370-722+492*571=,280580
(273+501)=,774
843-321=,522
489*(347-435)-469=,-43501
760+693+(903-159)=,2197
695+(959+724)=,2378
953+783*829-220=,649840
(202*376)*844*274=,17564355712
433-(811+341)=,-719
650-843*942=,-793456
789-103*408=,-41235
798+524=,1322
(918*628)-(387*714)=,300186
290-917-(563*264)=,-149259
(957+693)+551-190=,2011
(461-566)*516*702=,-38034360
(288+239)+497=,1024
864+(268+917)=,2049
247-642=,-395
(987-149)*(890-298)=,496096
638+756+533+108=,2035
806-299*623=,-185471
247+906=,1153
238*863=,205394
(442+871)=,1313
(130*163)+159=,21349
(439+774)=,1213
(473+239)=,712
(812+903)=,1715
(222-530)-641=,-949
182-(439-210)-280=,-327
(543-440)+937=,1040
(962-745)-221-287=,-291
328-717=,-389
(846-237)+211=,820
167+(500-960)=,-293
(114-314)=,-200
722+280-703=,299
371+951=,1322
(530+736)*590=,746940
807-164=,643
(301+540)*(664-747)=,-69803
(848-112)+505=,1241
(437+971)*168-827=,235717
(728*517)*157=,59091032
808*(337-683)=,-279568
464*367-256=,170032
(506*827)*911=,381218882
589-(327*956)+435=,-311588
(571*838)*(683+255)=,448831124
(121+462)=,583
(816*593)+(417-512)=,483793
(307*914)=,280598
(639*790)-518=,504292
(992+101)+872=,1965
(526+278)*560-586=,449654
(404-228)=,176
986*706=,696116
486+759=,1245
704+(526-558)=,672
(191*907)=,173237
644-(296+606)*343=,-308742
132+(569+505)=,1206
789+116=,905
465-187=,278
(106+487)+450=,1043
959*765-231=,733404
800*971=,776800
532-580*950=,-550468
(875-688)+399=,586
(122-767)+594-953=,-1004
761*(227-925)*806=,-428129468
(246*577)=,141942
558*381*214=,45495972
770-182-545=,43
666+831=,1497
(621*875)*206=,111935250
(920*926)*461*860=,337752203200
506*(728+554)*801=,519602292
814+(156*636)*441=,43755070
(693*772)+(585-732)=,534849
376+(165*602)=,99706
(491-919)-269=,-697
(425*445)+843+925=,190893
(469*650)+(745-395)=,305200
539-534*968+345=,-516028
431+945=,1376
515*665-607=,341868
(153-993)*(723*543)=,-329774760
(112+837)*962=,912938
910*278=,252980
798-391=,407
(600*112)*(498-472)=,1747200
(542+130)+410=,1082
968+646=,1614
292-449+283=,126
(684*987)+523=,675631
571+132=,703
(425+641)=,1066
698*719*213=,106896606
111+448=,559
(358*467)+954=,168140
(863*382)=,329666
(191+514)+119=,824
(742-654)+989=,1077
440*(241+629)=,382800
(362+556)+570=,1488
350+896=,1246
894*368=,328992
(537-732)-(256-960)=,509
(127-958)-653=,-1484
(523+268)+962-160=,1593
636+620+922=,2178
835-(154+963)=,-282
897*682=,611754
751*(714-580)+149=,100783
272+852=,1124
807-128=,679
(771+277)*569=,596312
662*(976+969)+450=,1288040
950*241=,228950
491+103=,594
(882+567)=,1449
779-538+209=,450
292-646*112=,-72060
147+162+330=,639
549-444+698=,803
873+(538+440)*766=,750021
803-418=,385
(759+959)=,1718
(206+756)+(287+927)=,2176
(344+533)-615-336=,-74
697*284=,197948
329+379=,708
282-(409*796)+326=,-324956
974*(933*251)+482=,228094724
998+242=,1240
(876+467)=,1343
342+(896-411)=,827
(768*657)+820=,505396
(338*432)*(525-579)=,-7884864
575+161+953-167=,1522
(816*724)-561=,590223
194-830-223=,-859
(325-701)-219=,-595
294-987=,-693
(611-955)-719+824=,-239
(614+685)+660=,1959
(793+729)=,1522
(472+495)*332=,321044
(764-537)*275-234=,62191
258-621+675=,312
(849+328)=,1177
765+556=,1321
(245+984)=,1229
323+712+235+370=,1640
(223*153)+282-558=,33843
780+(207-231)-739=,17
(444+117)=,561
259-151=,108
966-957=,9
(375+902)=,1277
(621*512)-727=,317225
(646-430)+(545-287)=,474
201+385=,586
798+140+258=,1196
654*911=,595794
525-734=,-209
(603-990)=,-387
371+901=,1272
(683+389)-143-112=,817
715+(817+760)*296=,467507
283*732+558*898=,708240
825*836=,689700
814*(155*265)+724=,33435774
(908-817)*(760-192)=,51688
(786+150)=,936
257*(314-297)=,4369
(187+400)-863=,-276
598+158=,756
(121*569)+289=,69138
(437-133)+(639+249)=,1192
263+826*947=,782485
(537+434)+544=,1515
946+(227*846)+846=,193834
137+939=,1076
330*773=,255090
871*149+926=,130705
(476+604)*440=,475200
974*285-472=,277118
(346-544)-475=,-673
236+269-528+963=,940
424+(688*678)=,466888
564*(774*262)-978=,114371454
196-764=,-568
(250+421)=,671
(547*931)=,509257
(741-356)=,385
398+465-302=,561
(857+397)+(787*571)=,450631
213+620*190*889=,104724413
(186-993)-(604*650)=,-393407
(232-648)-361=,-777
(296-345)*217+801=,-9832
818*842+807=,689563
(840+359)+242=,1441
153*(753-960)=,-31671
225+100=,325
(320-519)-726*383=,-278257
603*244+436=,147568
863*215-937=,184608
(690+734)=,1424
(927*859)-(163+635)=,795495
(857+635)-816=,676
(226+343)=,569
561*472=,264792
(901*536)=,482936
637-824*233*355=,-68156523
(813*751)*726=,443268738
(326*679)*795-623=,175975807
173-(127*342)=,-43261
(318-928)+(969+635)=,994
447*220=,98340
(552-461)+281+700=,1072
(785-198)*706*147=,60920034
(845-830)-857=,-842
800-799*307=,-244493
272-(730*292)*407=,-86755848
805*(575-679)=,-83720
458-(658*618)-820=,-407006
304-794=,-490
945*516+(554-369)=,487805
480+827=,1307
(902+485)+134=,1521
688*(264+926)=,818720
(259+524)+(569*467)=,266506
682*495+881=,338471
(563-906)=,-343
805*116*650=,60697000
961+(560-613)*463=,-23578
(329*982)-954+178=,322302
783+101-(740*306)=,-225556
952-(688-322)*394=,-143252
683+(537-909)*340=,-125797
(288-185)-(169-683)=,617
(288+534)=,822
(435-714)=,-279
610*858*187*792=,77514671520
(752*979)-(850+185)=,735173
654+(793*310)-647=,245837
(230-375)-125=,-270
(932*196)-(248+910)=,181514
(649-777)*662=,-84736
(469+412)=,881
(932+397)=,1329
(157*567)+301=,89320
(614-528)+599=,685
937+768*160=,123817
(651*876)=,570276
899*(656-952)=,-266104
264+979=,1243
(547-967)*294=,-123480
(603+295)=,898
(821-112)*865=,613285
677-276+593=,994
606*419+698=,254612
(758*260)*833=,164167640
(470+122)+226=,818
771*131=,101001
828*165+240=,136860
(747*313)=,233811
553+278=,831
229+743=,972
(690-356)=,334
(230*541)=,124430
(709+551)+141=,1401
908-388=,520
909*340+825=,309885
969-119=,850
(163*652)+(128-856)=,105548
(519+581)+412+594=,2106
531*(374+350)*487=,187224228
(698*821)*(936+979)=,1097406070
(990*676)*721=,482522040
(745-381)=,364
248-138-738=,-628
328-922-345-694=,-1633
(137*820)+811=,113151
(524+863)*974=,1350938
(178-761)*429=,-250107
(459+322)*(720*476)=,267664320
(642*653)=,419226
(996+430)=,1426
(790-527)=,263
(188*408)+733=,77437
(601+598)=,1199
(699-901)-329*166=,-54816
961+927*981=,910348
590*523=,308570
(775+684)*608=,887072
(746*908)=,677368
957+(518*641)=,332995
515+839-468=,886
(525-768)=,-243
(611+363)=,974
(798+149)*330=,312510
866*(275-644)+548=,-319006
348+511*437=,223655
(632-578)+755=,809
(894*738)+282=,660054
(952+123)-(697+237)=,141
(923*286)=,263978
(815+821)-731=,905
(731+492)=,1223
(127*444)-610=,55778
(286-219)=,67
(537*969)+383=,520736
284+912-(130+875)=,191
761*584+(528-992)=,443960
780*522+146=,407306
(144-648)+458=,-46
457-723-(443+468)=,-1177
861*746-225+364=,642445
(235*255)-918=,59007
(820*570)=,467400
281-(728*998)=,-726263
163*880=,143440
229-(934-601)+861=,757
(369-425)+311-505=,-250
122+(322-468)+798=,774
(147+642)*335=,264315
599+520*537=,279839
(738*475)*455+737=,159500987
147+277=,424
(121-896)=,-775
(514+672)*112=,132832
(787*332)-487=,260797
830*782=,649060
(224+151)=,375
962-(946-830)=,846
747+724-863+368=,976
302-239=,63
(718-521)=,197
(679-908)+401=,172
198+613=,811
(322*432)-514=,138590
(374+589)-(386-518)=,1095
(679+388)=,1067
701*500=,350500
(443+576)*918=,935442
556+990-182*990=,-178634
394-956=,-562
746+611=,1357
(667+534)=,1201
520*(322+309)=,328120
308-974=,-666
(424+498)=,922
(797+693)+520-929=,1081
407*(173-232)*821=,-19714673
132*(683-220)=,61116
815+544+851-406=,1804
(277*395)+376*671=,361711
(242+407)+890=,1539
238+(847*952)-109=,806473
436*189=,82404
(273+376)+(957+542)=,2148
(145*877)=,127165
563*577=,324851
(977+386)=,1363
668+(341*229)+723=,79480
(945-628)-117=,200
(449+831)=,1280
604-(988-966)=,582
